Province,Original Points,Points Removed,Points Remaining,% Removed
NATIONAL CAPITAL REGION - MANILA,102,2,100,1.9607843137254901
DAVAO OCCIDENTAL,111,2,109,1.8018018018018018
CAMIGUIN,56,1,55,1.7857142857142856
BILIRAN,117,2,115,1.7094017094017095
APAYAO,118,2,116,1.694915254237288
AURORA,122,2,120,1.639344262295082
SIQUIJOR,132,2,130,1.5151515151515151
QUIRINO,136,2,134,1.4705882352941175
LANAO DEL SUR,208,3,205,1.4423076923076923
BASILAN,216,3,213,1.3888888888888888
DAVAO ORIENTAL,223,3,220,1.345291479820628
AGUSAN DEL NORTE,226,3,223,1.3274336283185841
SURIGAO DEL SUR,227,3,224,1.3215859030837005
SOUTH COTABATO,306,4,302,1.3071895424836601
ZAMBALES,233,3,230,1.2875536480686696
NUEVA VIZCAYA,242,3,239,1.2396694214876034
AKLAN,323,4,319,1.238390092879257
CATANDUANES,243,3,240,1.2345679012345678
CAMARINES NORTE,244,3,241,1.2295081967213115
CAVITE,407,5,402,1.2285012285012284
NATIONAL CAPITAL REGION - THIRD DISTRICT,163,2,161,1.2269938650306749
MOUNTAIN PROVINCE,163,2,161,1.2269938650306749
ORIENTAL MINDORO,412,5,407,1.2135922330097086
AGUSAN DEL SUR,332,4,328,1.2048192771084338
BATAAN,167,2,165,1.1976047904191618
ABRA,251,3,248,1.1952191235059761
DINAGAT ISLANDS,84,1,83,1.1904761904761905
DAVAO DEL SUR,506,6,500,1.185770750988142
NATIONAL CAPITAL REGION - FOURTH DISTRICT,171,2,169,1.1695906432748537
SULU,86,1,85,1.1627906976744187
DAVAO (DAVAO DEL NORTE),259,3,256,1.1583011583011582
NATIONAL CAPITAL REGION - SECOND DISTRICT,259,3,256,1.1583011583011582
BUKIDNON,521,6,515,1.1516314779270633
MASBATE,521,6,515,1.1516314779270633
MAGUINDANAO,435,5,430,1.1494252873563218
EASTERN SAMAR,436,5,431,1.146788990825688
MISAMIS OCCIDENTAL,436,5,431,1.146788990825688
NEGROS ORIENTAL,531,6,525,1.1299435028248588
TAWI-TAWI,177,2,175,1.1299435028248588
SURIGAO DEL NORTE,266,3,263,1.1278195488721803
PAMPANGA,533,6,527,1.125703564727955
GUIMARAS,89,1,88,1.1235955056179776
CAPIZ,448,5,443,1.1160714285714286
ZAMBOANGA DEL NORTE,628,7,621,1.1146496815286624
SOUTHERN LEYTE,452,5,447,1.1061946902654867
ISABELA,906,10,896,1.1037527593818985
NEGROS OCCIDENTAL,726,8,718,1.1019283746556474
BULACAN,548,6,542,1.094890510948905
KALINGA,183,2,181,1.092896174863388
OCCIDENTAL MINDORO,184,2,182,1.0869565217391304
NUEVA ECIJA,737,8,729,1.0854816824966078
SULTAN KUDARAT,278,3,275,1.079136690647482
MISAMIS ORIENTAL,464,5,459,1.0775862068965518
ILOCOS SUR,557,6,551,1.0771992818671454
MARINDUQUE,187,2,185,1.06951871657754
NORTHERN SAMAR,469,5,464,1.0660980810234542
COMPOSTELA VALLEY,283,3,280,1.0600706713780919
LAGUNA,472,5,467,1.059322033898305
ILOILO,1334,14,1320,1.0494752623688157
CAMARINES SUR,953,10,943,1.049317943336831
SAMAR (WESTERN SAMAR),858,9,849,1.048951048951049
COTABATO (NORTH COT.),572,6,566,1.048951048951049
ZAMBOANGA DEL SUR,763,8,755,1.0484927916120577
BOHOL,1053,11,1042,1.0446343779677114
BENGUET,383,4,379,1.0443864229765014
TARLAC,480,5,475,1.0416666666666665
QUEZON,1057,11,1046,1.0406811731315044
PANGASINAN,1161,12,1149,1.03359173126615
CEBU,1166,12,1154,1.0291595197255576
LEYTE,1368,14,1354,1.023391812865497
ZAMBOANGA SIBUGAY,392,4,388,1.0204081632653061
ROMBLON,196,2,194,1.0204081632653061
CAGAYAN,687,7,680,1.0189228529839884
ANTIQUE,492,5,487,1.0162601626016259
ALBAY,591,6,585,1.015228426395939
ILOCOS NORTE,395,4,391,1.0126582278481013
LA UNION,397,4,393,1.0075566750629723
BATANGAS,900,9,891,1.0
SORSOGON,400,4,396,1.0
LANAO DEL NORTE,400,4,396,1.0
RIZAL,300,3,297,1.0
PALAWAN,501,5,496,0.998003992015968
SARANGANI,201,2,199,0.9950248756218906
IFUGAO,201,2,199,0.9950248756218906
BATANES,21,0,21,0.0
TAGUIG - PATEROS,34,0,34,0.0
