,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-,"NUEVA VIZCAYA, PAMPANGA, SURIGAO DEL SUR","CAVITE, DAVAO OCCIDENTAL, DAVAO ORIENTAL, LA UNION, SOUTH COTABATO","CAVITE, DAVAO (DAVAO DEL NORTE), DAVAO OCCIDENTAL, DAVAO ORIENTAL, GUIMARAS, KALINGA, RIZAL, SOUTH COTABATO",,"COMPOSTELA VALLEY, DAVAO (DAVAO DEL NORTE), GUIMARAS, KALINGA, NUEVA VIZCAYA, QUIRINO, RIZAL",,ANTIQUE,"ANTIQUE, MISAMIS ORIENTAL, SULTAN KUDARAT",,,,,,,,,,,
1,"NUEVA VIZCAYA, PAMPANGA, SURIGAO DEL SUR",-,,,,NUEVA VIZCAYA,,,,,,,ORIENTAL MINDORO,,,,,,,
2,"CAVITE, DAVAO OCCIDENTAL, DAVAO ORIENTAL, LA UNION, SOUTH COTABATO",,-,"APAYAO, CAMARINES NORTE, CATANDUANES, CAVITE, DAVAO OCCIDENTAL, DAVAO ORIENTAL, DINAGAT ISLANDS, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, ROMBLON, SORSOGON, SOUTH COTABATO, TARLAC",,,,"ILOCOS SUR, PANGASINAN",,,,,,,,,,,,
3,"CAVITE, DAVAO (DAVAO DEL NORTE), DAVAO OCCIDENTAL, DAVAO ORIENTAL, GUIMARAS, KALINGA, RIZAL, SOUTH COTABATO",,"APAYAO, CAMARINES NORTE, CATANDUANES, CAVITE, DAVAO OCCIDENTAL, DAVAO ORIENTAL, DINAGAT ISLANDS, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, ROMBLON, SORSOGON, SOUTH COTABATO, TARLAC",-,,"CAMIGUIN, DAVAO (DAVAO DEL NORTE), GUIMARAS, KALINGA, RIZAL",,,,,,,,,,,,,,
4,,,,,-,,,,,,,,,,,,,,,
5,"COMPOSTELA VALLEY, DAVAO (DAVAO DEL NORTE), GUIMARAS, KALINGA, NUEVA VIZCAYA, QUIRINO, RIZAL",NUEVA VIZCAYA,,"CAMIGUIN, DAVAO (DAVAO DEL NORTE), GUIMARAS, KALINGA, RIZAL",,-,,,,,,,,,,,,,,
6,,,,,,,-,,,,,,,,,,,,,
7,ANTIQUE,,"ILOCOS SUR, PANGASINAN",,,,,-,"ANTIQUE, CAPIZ, SOUTHERN LEYTE","BOHOL, NEGROS OCCIDENTAL, ZAMBOANGA DEL SUR",,,,,,,,,,
8,"ANTIQUE, MISAMIS ORIENTAL, SULTAN KUDARAT",,,,,,,"ANTIQUE, CAPIZ, SOUTHERN LEYTE",-,,ISABELA,,,,,EASTERN SAMAR,,,,
9,,,,,,,,"BOHOL, NEGROS OCCIDENTAL, ZAMBOANGA DEL SUR",,-,ILOILO,,,,,,,,,
10,,,,,,,,,ISABELA,ILOILO,-,,,,,,,,,
11,,,,,,,,,,,,-,,,,,,,,
12,,ORIENTAL MINDORO,,,,,,,,,,,-,,,,,,,
13,,,,,,,,,,,,,,-,,,,,,
14,,,,,,,,,,,,,,,-,,,,,
15,,,,,,,,,EASTERN SAMAR,,,,,,,-,,,,
16,,,,,,,,,,,,,,,,,-,,,
17,,,,,,,,,,,,,,,,,,-,,
18,,,,,,,,,,,,,,,,,,,-,
19,,,,,,,,,,,,,,,,,,,,-
