"Table 15. Grouping of Provinces based on 2023 Full Year Poverty Incidence among Families, by Province:  2018, 2021, and 2023"

"Province";"2018 Poverty Incidence";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2021 Poverty Incidence";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2023 Poverty Incidence"
"Basilan";66.3;42.5;33.7
"Cotabato City";35.2;31.3;33.3
"Maguindanao";40.6;29.8;30.4
"Maguindanao del Sur";..;..;32.1
"Tawi-tawi b/";15.1;28.1;32.3
"Zamboanga del Norte";36.9;40.8;37.7
"Agusan del Sur";30.6;33.4;23.4
"Bukidnon";22.3;22.8;20.2
"Camarines Sur";21.0;29.8;22.4
"Catanduanes";14.4;16.8;23.5
"Davao Oriental";27.7;21.8;29.1
"Dinagat Islands a/, b/";26.5;26.1;23.1
"Eastern Samar";40.9;29.4;24.7
"Lanao del Norte";19.0;25.5;25.2
"Leyte";21.7;20.8;20.6
"Maguindanao del Norte";..;..;28.4
"Misamis Occidental b/";19.5;18.3;22.6
"Negros Occidental a/";14.5;16.4;22.1
"Negros Oriental";19.4;23.6;25.1
"Northern Samar";27.6;19.3;21.8
"Occidental Mindoro a/, c/";16.1;23.0;20.6
"Romblon";19.7;31.0;23.0
"Samar";22.2;27.0;24.9
"Sarangani c/";36.1;33.5;23.1
"Sorsogon";19.6;21.7;28.4
"Sultan Kudarat b/, c/";24.3;23.8;26.4
"Zamboanga del Sur";17.4;13.4;20.0
"Agusan del Norte";18.9;23.5;14.7
"Albay b/";15.0;15.4;18.1
"Antique a/, c/";12.9;18.2;13.8
"Aurora a/, b/, c/";11.8;16.5;11.0
"Bohol c/";15.5;19.1;14.8
"Camarines Norte";22.4;16.6;17.7
"Cebu";11.3;22.8;11.7
"Cotabato a/, c/";23.6;23.6;18.0
"Davao Occidental c/";31.9;34.5;19.8
"Iloilo b/";12.1;12.6;11.1
"Isabela City b/, c/";41.6;12.7;10.0
"Lanao del Sur b/, c/";64.2;7.4;12.1
"Masbate c/";25.8;20.2;12.9
"Misamis Oriental";11.4;13.0;12.0
"Mt. Province a/, b/, c/";17.1;15.3;10.5
"Oriental Mindoro a/, b/, c/";7.3;12.8;14.1
"Palawan a/, b/, c/";8.2;9.4;15.8
"Pangasinan a/, c/";9.3;13.9;11.4
"South Cotabato a/, c/";13.7;12.8;10.1
"Sulu r1, c/";75.3;41.5;13.0
"Surigao del Sur c/";19.2;24.0;10.3
"Zambales a/";10.9;17.7;11.8
"Zamboanga Sibugay";27.1;26.0;17.8
"1st District a/, b/, c/";1.9;1.1;1.6
"2nd District a/, b/, c/";1.4;1.6;0.9
"3rd District a/, b/, c/";2.2;3.3;1.6
"4th District a/, c/";0.7;2.5;0.9
"Abra c/";14.7;15.8;9.4
"Aklan a/, b/, c/";8.8;13.9;3.1
"Apayao a/, b/, c/";16.0;4.7;4.0
"Bataan a/, b/, c/";5.8;9.0;6.6
"Batanes a/, b/, c/";6.5;2.6;3.3
"Batangas a/, b/, c/";8.6;4.3;4.9
"Benguet a/, b/, c/";4.2;3.9;2.5
"Biliran c/";13.7;19.9;8.5
"Bulacan a/, b/, c/";3.5;8.3;6.0
"Cagayan b/, c/";12.5;7.3;5.7
"Camiguin b/, c/";17.9;14.7;9.4
"Capiz a/, b/, c/";4.1;6.1;9.8
"Cavite a/, b/, c/";3.7;7.1;4.3
"Davao de Oro c/";18.6;17.7;7.1
"Davao del Norte a/, b/, c/";10.3;7.3;7.3
"Davao del Sur a/, b/, c/";8.1;7.2;9.1
"Guimaras a/, b/, c/";6.8;7.3;3.8
"Ifugao a/, b/, c/";9.9;6.0;4.6
"Ilocos Norte a/, b/, c/";3.1;1.7;0.3
"Ilocos Sur a/, b/, c/";5.5;11.5;5.2
"Isabela a/, c/";13.2;15.9;8.4
"Kalinga a/, b/, c/";9.2;5.6;2.6
"La Union a/, b/, c/";2.9;6.6;6.3
"Laguna a/, b/, c/";2.7;6.9;5.4
"Marinduque a/, c/";10.0;15.6;8.5
"Nueva Ecija a/, b/, c/";6.6;10.0;6.9
"Nueva Vizcaya a/, b/, c/";11.6;10.8;7.3
"Pampanga a/, b/, c/";2.1;2.9;1.0
"Quezon a/, b/, c/";9.3;16.3;6.9
"Quirino a/, b/, c/";8.9;6.2;6.7
"Rizal a/, b/, c/";3.3;4.3;5.6
"Siquijor a/, b/, c/";7.2;2.2;3.5
"Southern Leyte c/";17.3;16.0;7.1
"Surigao del Norte b/, c/";27.7;21.2;6.8
"Tarlac a/, c/";7.7;8.1;6.7
