Province,Dominant_Ethnicity,Group_Population_Size,Dominant_Share_Percentage
ABRA,Ilocano,145492,58.12495755246515
AGUSAN DEL NORTE,Bisaya/ Binisaya,491473,64.91340221708288
AGUSAN DEL SUR,Manobo,245798,33.30636823484297
AKLAN,Other Local Ethnicity,537062,87.61421568227607
ALBAY,Bikol/Bicol,1312546,95.6282831226549
ANTIQUE,Karay-a,506106,82.76765476435783
APAYAO,Ilocano,47547,38.36384614763952
AURORA,Tagalog,104026,44.268078351936886
"BANGSAMORO AUTONOMOUS REGION
   IN MUSLIM MINDANAO (BARMM)  1",Maguindanao,1303435,26.39312962801347
BASILAN,Tausog/ Tausug,41151,31.62299239222316
BASILAN (EXCLUDING THE CITY OF ISABELA),Yakan,222601,52.3630298910167
BATAAN,Tagalog,690974,81.33172468587236
BATANES,Ivatan,16837,90.5555854353789
BATANGAS,Tagalog,2736404,94.26595541286079
BENGUET,Kankanaey,272595,33.137454884946735
BILIRAN,Bisaya/ Binisaya,101122,56.582827406764956
BOHOL,Boholano,1267043,91.11982245541968
BUKIDNON,Cebuano,578983,37.65427160908125
BULACAN,Tagalog,2820834,76.30192237519871
CAGAYAN,Ilocano,820546,64.83761872402295
CAMARINES NORTE,Bikol/Bicol,538572,85.6498098780707
CAMARINES SUR,Bikol/Bicol,1888626,91.5796471570017
CAMIGUIN,Cebuano,54287,58.5645551048589
CAPIZ,Capizeño,752867,93.65426886384643
CATANDUANES,Bikol/Bicol,255975,94.53420736774075
CAVITE,Tagalog,2354823,54.52666716527778
CEBU,Cebuano,4864117,94.92443599477693
CITY OF GENERAL SANTOS (DADIANGAS),Bisaya/ Binisaya,223369,32.12047569059979
COTABATO (NORTH COTABATO) 1,Ilonggo,451102,35.41960781850417
DAVAO DE ORO (COMPOSTELA VALLEY),Bisaya/ Binisaya,334103,43.599561006865464
DAVAO DEL NORTE,Bisaya/ Binisaya,540424,48.461261855847596
DAVAO DEL SUR,Bisaya/ Binisaya,1428498,58.29545245863507
DAVAO OCCIDENTAL,Tagakaulo,86318,27.23764385135071
DAVAO ORIENTAL,Mandaya,261742,45.521614514490835
DINAGAT ISLANDS,Bisaya/ Binisaya,76987,60.16348475731266
EASTERN SAMAR,Waray,463647,97.43615069549666
GUIMARAS,Ilonggo,183897,98.03866166247282
IFUGAO,Tuwali,71512,34.525177424805676
ILOCOS NORTE,Ilocano,570849,93.81125638446825
ILOCOS SUR,Ilocano,580484,82.42958856490462
ILOILO,Ilonggo,2369070,94.63689507479249
INTERIM PROVINCE 1,Maguindanao,199655,92.71272544904062
ISABELA,Ilocano,1074212,63.35519265555083
KALINGA,Ilocano,31812,13.871834228702992
LA UNION,Ilocano,673312,82.07688735077888
LAGUNA,Tagalog,2894851,85.82076145165804
LANAO DEL NORTE,Bisaya/ Binisaya,488138,45.03541846188479
LANAO DEL SUR,Maranao,1114765,93.32427520307542
LEYTE,Waray,1032279,51.09214591378254
MAGUINDANAO (INCLUDING THE CITY OF COTABATO),Maguindanao,1101885,66.12554482753654
MARINDUQUE,Tagalog,231048,96.7416153749529
MASBATE,Masbateño/ Masbatenon,636146,70.15818362888223
MISAMIS OCCIDENTAL,Bisaya/ Binisaya,428712,69.7148228070204
MISAMIS ORIENTAL,Bisaya/ Binisaya,1261078,75.12569819089921
MOUNTAIN PROVINCE,Kankanaey,49106,31.119532566952685
NATIONAL CAPITAL REGION - FOURTH DISTRICT,Tagalog,2159066,56.543306160727354
NATIONAL CAPITAL REGION - MANILA,Tagalog,969542,52.75600791169804
NATIONAL CAPITAL REGION - SECOND DISTRICT,Tagalog,2637177,55.53208357680949
NATIONAL CAPITAL REGION - THIRD DISTRICT,Tagalog,1752887,58.4605117642272
NEGROS OCCIDENTAL,Ilonggo,2776155,86.31552470286388
NEGROS ORIENTAL,Bisaya/ Binisaya,1299526,90.96831188031483
NORTHERN SAMAR,Waray,604372,94.87860972221131
NUEVA ECIJA,Tagalog,1830798,79.36695378044705
NUEVA VIZCAYA,Ilocano,261901,52.74455941644883
OCCIDENTAL MINDORO,Tagalog,279932,53.68400058299645
ORIENTAL MINDORO,Tagalog,695394,76.69834701172765
PALAWAN,Cuyonen/ Cuyunon,307863,24.88224169145222
PAMPANGA,Kapampangan,2203452,76.13050299743394
PANGASINAN,Pangasinan,1557356,49.29546078978789
QUEZON,Tagalog,1973488,88.74431095368224
QUIRINO,Ilocano,117360,57.66226109173095
RIZAL,Tagalog,2045844,61.59722399945805
ROMBLON,Romblomanon,181598,58.94660988340388
SAMAR (WESTERN SAMAR),Waray,739438,93.47609807280243
SARANGANI,Blaan,138087,24.743714486918282
SIQUIJOR,Bisaya/ Binisaya,100513,97.57217465587202
SORSOGON,Bikol/Bicol,765667,92.67893239726442
SOUTH COTABATO,Ilonggo,484870,49.82500056517727
SOUTHERN LEYTE,Bisaya/ Binisaya,410959,95.90999897312386
SULTAN KUDARAT,Ilonggo,316356,37.150433207993856
SULU,Tausog/ Tausug,876481,87.76438781385335
SURIGAO DEL NORTE,Surigaonon,393433,73.9879229642334
SURIGAO DEL SUR,Bisaya/ Binisaya,276616,43.18670063948841
TARLAC,Kapampangan,603819,40.27973455436192
TAWI-TAWI,Sama/Samal,192220,43.831305795300366
ZAMBALES,Tagalog,360600,39.79324287341202
ZAMBOANGA DEL NORTE,Bisaya/ Binisaya,595744,56.95356767624236
ZAMBOANGA DEL SUR,Bisaya/ Binisaya,687110,34.05255147579558
ZAMBOANGA SIBUGAY,Bisaya/ Binisaya,310931,46.5014476974432
