Node ID,Size,IRA Dependency (%),Provinces Included
0,26,83.14877442382166,"ABRA, AGUSAN DEL SUR, AKLAN, ALBAY, ANTIQUE, BATANGAS, BENGUET, BUKIDNON, CAMARINES NORTE, CAPIZ, DAVAO DEL NORTE, EASTERN SAMAR, MISAMIS OCCIDENTAL, NUEVA ECIJA, NUEVA VIZCAYA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, PALAWAN, PAMPANGA, RIZAL, SORSOGON, SOUTHERN LEYTE, SULTAN KUDARAT, SURIGAO DEL NORTE, SURIGAO DEL SUR, ZAMBOANGA SIBUGAY"
1,24,83.09274522667029,"AGUSAN DEL NORTE, APAYAO, AURORA, BATAAN, BILIRAN, BULACAN, CATANDUANES, CAVITE, DAVAO DE ORO, DAVAO OCCIDENTAL, DAVAO ORIENTAL, DINAGAT ISLANDS, KALINGA, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NUEVA VIZCAYA, PANGASINAN, RIZAL, ROMBLON, SARANGANI, SURIGAO DEL SUR, TARLAC"
2,2,98.57087937942032,"BASILAN, LANAO DEL SUR"
3,1,97.3339811947908,BATANES
4,8,86.36751547868587,"BOHOL, CAGAYAN, CAMARINES SUR, ILOILO, LANAO DEL NORTE, MASBATE, NEGROS OCCIDENTAL, QUEZON"
5,5,56.189197421352276,"CAMIGUIN, GUIMARAS, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT"
6,2,80.60647807538417,"CEBU, LEYTE"
7,13,76.44804410205573,"AKLAN, BATANGAS, BENGUET, BUKIDNON, CAPIZ, DAVAO DEL SUR, ILOCOS NORTE, ILOCOS SUR, MISAMIS OCCIDENTAL, MISAMIS ORIENTAL, PALAWAN, SORSOGON, SOUTHERN LEYTE"
8,2,86.27787191921416,"CATANDUANES, IFUGAO"
9,4,82.97898982119159,"CAMARINES SUR, ILOILO, ISABELA, QUEZON"
10,18,80.73808299126264,"AKLAN, ALBAY, BATANGAS, BENGUET, BULACAN, CAMARINES NORTE, CAPIZ, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO OCCIDENTAL, LA UNION, NUEVA ECIJA, PAMPANGA, RIZAL, ROMBLON, SOUTH COTABATO, SULTAN KUDARAT, SURIGAO DEL SUR"
11,2,92.79907520995434,"MAGUINDANAO, NORTHERN SAMAR"
12,8,89.35778224062625,"ANTIQUE, CAGAYAN, EASTERN SAMAR, NEGROS ORIENTAL, NORTHERN SAMAR, ZAMBOANGA DEL NORTE, ZAMBOANGA DEL SUR, ZAMBOANGA SIBUGAY"
13,4,82.89427669158366,"LANAO DEL NORTE, NEGROS OCCIDENTAL, NORTH COTABATO, QUEZON"
14,1,77.12833225273108,QUIRINO
15,3,91.28135276924343,"DINAGAT ISLANDS, SARANGANI, SIQUIJOR"
16,1,98.06999219715635,SULU
17,1,98.86095222804326,TAWI-TAWI
18,1,89.35751281858268,WESTERN SAMAR
19,10,66.16769870812284,"AURORA, GUIMARAS, LAGUNA, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT, PANGASINAN, SARANGANI, ZAMBALES"
