Node ID,Size,Poverty Incidence (%),Provinces Included
0,26,15.391025641025639,"ABRA, AGUSAN DEL SUR, AKLAN, ALBAY, ANTIQUE, BATANGAS, BENGUET, BUKIDNON, CAMARINES NORTE, CAPIZ, DAVAO DEL NORTE, EASTERN SAMAR, MISAMIS OCCIDENTAL, NUEVA ECIJA, NUEVA VIZCAYA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, PALAWAN, PAMPANGA, RIZAL, SORSOGON, SOUTHERN LEYTE, SULTAN KUDARAT, SURIGAO DEL NORTE, SURIGAO DEL SUR, ZAMBOANGA SIBUGAY"
1,24,14.025,"AGUSAN DEL NORTE, APAYAO, AURORA, BATAAN, BILIRAN, BULACAN, CATANDUANES, CAVITE, DAVAO DE ORO, DAVAO OCCIDENTAL, DAVAO ORIENTAL, DINAGAT ISLANDS, KALINGA, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NUEVA VIZCAYA, PANGASINAN, RIZAL, ROMBLON, SARANGANI, SURIGAO DEL SUR, TARLAC"
2,2,37.7,"BASILAN, LANAO DEL SUR"
3,1,4.133333333333333,BATANES
4,8,16.755208333333336,"BOHOL, CAGAYAN, CAMARINES SUR, ILOILO, LANAO DEL NORTE, MASBATE, NEGROS OCCIDENTAL, QUEZON"
5,5,5.218333333333333,"CAMIGUIN, GUIMARAS, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT"
6,2,18.65833333333333,"CEBU, LEYTE"
7,13,11.231410256410253,"AKLAN, BATANGAS, BENGUET, BUKIDNON, CAPIZ, DAVAO DEL SUR, ILOCOS NORTE, ILOCOS SUR, MISAMIS OCCIDENTAL, MISAMIS ORIENTAL, PALAWAN, SORSOGON, SOUTHERN LEYTE"
8,2,12.533333333333333,"CATANDUANES, IFUGAO"
9,4,14.910416666666666,"CAMARINES SUR, ILOILO, ISABELA, QUEZON"
10,18,12.147685185185187,"AKLAN, ALBAY, BATANGAS, BENGUET, BULACAN, CAMARINES NORTE, CAPIZ, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO OCCIDENTAL, LA UNION, NUEVA ECIJA, PAMPANGA, RIZAL, ROMBLON, SOUTH COTABATO, SULTAN KUDARAT, SURIGAO DEL SUR"
11,2,29.15,"MAGUINDANAO, NORTHERN SAMAR"
12,8,23.270833333333332,"ANTIQUE, CAGAYAN, EASTERN SAMAR, NEGROS ORIENTAL, NORTHERN SAMAR, ZAMBOANGA DEL NORTE, ZAMBOANGA DEL SUR, ZAMBOANGA SIBUGAY"
13,4,18.366666666666667,"LANAO DEL NORTE, NEGROS OCCIDENTAL, NORTH COTABATO, QUEZON"
14,1,7.266666666666667,QUIRINO
15,3,22.11666666666667,"DINAGAT ISLANDS, SARANGANI, SIQUIJOR"
16,1,43.26666666666667,SULU
17,1,22.674999999999997,TAWI-TAWI
18,1,24.7,WESTERN SAMAR
19,10,9.044166666666666,"AURORA, GUIMARAS, LAGUNA, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT, PANGASINAN, SARANGANI, ZAMBALES"
